original_name,local_path,source_url,description_url,bytes,mime,source_timestamp
033_Radix_Iesse.mp3,033_Radix_Iesse.mp3,https://liberhymnarius.org/images/c/c9/033_Radix_Iesse.mp3,https://liberhymnarius.org/index.php?title=File:033_Radix_Iesse.mp3,1101508,audio/mp3,2010-12-31T15:43:19Z
034_Fit_porta.mp3,034_Fit_porta.mp3,https://liberhymnarius.org/images/2/2e/034_Fit_porta.mp3,https://liberhymnarius.org/index.php?title=File:034_Fit_porta.mp3,1168275,audio/mp3,2010-12-31T15:42:27Z
036_Hostis_Herodes.mp3,036_Hostis_Herodes.mp3,https://liberhymnarius.org/images/1/18/036_Hostis_Herodes.mp3,https://liberhymnarius.org/index.php?title=File:036_Hostis_Herodes.mp3,1304953,audio/mp3,2011-01-05T18:08:19Z
037_Christe_qui.mp3,037_Christe_qui.mp3,https://liberhymnarius.org/images/a/a4/037_Christe_qui.mp3,https://liberhymnarius.org/index.php?title=File:037_Christe_qui.mp3,994302,audio/mp3,2011-01-05T18:16:12Z
038_Magi_videntes.mp3,038_Magi_videntes.mp3,https://liberhymnarius.org/images/6/67/038_Magi_videntes.mp3,https://liberhymnarius.org/index.php?title=File:038_Magi_videntes.mp3,1861360,audio/mp3,2011-01-05T18:11:49Z
040_Quicumque.mp3,040_Quicumque.mp3,https://liberhymnarius.org/images/3/32/040_Quicumque.mp3,https://liberhymnarius.org/index.php?title=File:040_Quicumque.mp3,1838159,audio/mp3,2011-01-05T18:10:09Z
041_Certum_tenentes.mp3,041_Certum_tenentes.mp3,https://liberhymnarius.org/images/e/e0/041_Certum_tenentes.mp3,https://liberhymnarius.org/index.php?title=File:041_Certum_tenentes.mp3,815001,audio/mp3,2011-01-05T18:09:31Z
042_Dicamus_laudes.mp3,042_Dicamus_laudes.mp3,https://liberhymnarius.org/images/a/a7/042_Dicamus_laudes.mp3,https://liberhymnarius.org/index.php?title=File:042_Dicamus_laudes.mp3,801207,audio/mp3,2011-01-05T18:09:02Z
043_A_Patre.mp3,043_A_Patre.mp3,https://liberhymnarius.org/images/2/22/043_A_Patre.mp3,https://liberhymnarius.org/index.php?title=File:043_A_Patre.mp3,1312782,audio/mp3,2011-01-08T11:10:44Z
043_Ternis_horarum.mp3,043_Ternis_horarum.mp3,https://liberhymnarius.org/images/d/d9/043_Ternis_horarum.mp3,https://liberhymnarius.org/index.php?title=File:043_Ternis_horarum.mp3,812179,audio/mp3,2011-01-05T18:08:40Z
045_Implemente.mp3,045_Implemente.mp3,https://liberhymnarius.org/images/5/57/045_Implemente.mp3,https://liberhymnarius.org/index.php?title=File:045_Implemente.mp3,1311845,audio/mp3,2011-01-08T11:09:51Z
046_Iesus_refulsit.mp3,046_Iesus_refulsit.mp3,https://liberhymnarius.org/images/4/40/046_Iesus_refulsit.mp3,https://liberhymnarius.org/index.php?title=File:046_Iesus_refulsit.mp3,1507141,audio/mp3,2011-01-08T11:08:39Z
101_Iam_Christus.mp3,101_Iam_Christus.mp3,https://liberhymnarius.org/images/3/3e/101_Iam_Christus.mp3,https://liberhymnarius.org/index.php?title=File:101_Iam_Christus.mp3,1102136,audio/mp3,2011-06-07T09:16:54Z
103_Venite_servi.mp3,103_Venite_servi.mp3,https://liberhymnarius.org/images/5/5d/103_Venite_servi.mp3,https://liberhymnarius.org/index.php?title=File:103_Venite_servi.mp3,882081,audio/mp3,2011-06-07T09:15:56Z
104_Haec_hora.mp3,104_Haec_hora.mp3,https://liberhymnarius.org/images/c/cf/104_Haec_hora.mp3,https://liberhymnarius.org/index.php?title=File:104_Haec_hora.mp3,900259,audio/mp3,2011-06-07T09:14:11Z
105_Immensa.mp3,105_Immensa.mp3,https://liberhymnarius.org/images/2/2b/105_Immensa.mp3,https://liberhymnarius.org/index.php?title=File:105_Immensa.mp3,1551542,audio/mp3,2011-06-18T17:45:14Z
107_Te_Patrem.mp3,107_Te_Patrem.mp3,https://liberhymnarius.org/images/c/c1/107_Te_Patrem.mp3,https://liberhymnarius.org/index.php?title=File:107_Te_Patrem.mp3,1299097,audio/mp3,2011-06-18T17:44:59Z
108_Trinitas.mp3,108_Trinitas.mp3,https://liberhymnarius.org/images/a/aa/108_Trinitas.mp3,https://liberhymnarius.org/index.php?title=File:108_Trinitas.mp3,2232817,audio/mp3,2011-06-18T17:44:43Z
110_Pange_lingua.mp3,110_Pange_lingua.mp3,https://liberhymnarius.org/images/d/d4/110_Pange_lingua.mp3,https://liberhymnarius.org/index.php?title=File:110_Pange_lingua.mp3,2314741,audio/mp3,2011-06-22T06:27:08Z
113_Sacris_solemniis.mp3,113_Sacris_solemniis.mp3,https://liberhymnarius.org/images/d/dc/113_Sacris_solemniis.mp3,https://liberhymnarius.org/index.php?title=File:113_Sacris_solemniis.mp3,2811698,audio/mp3,2011-06-22T20:18:50Z
115_Verbum_supernum.mp3,115_Verbum_supernum.mp3,https://liberhymnarius.org/images/8/8d/115_Verbum_supernum.mp3,https://liberhymnarius.org/index.php?title=File:115_Verbum_supernum.mp3,2164696,audio/mp3,2011-06-22T20:21:10Z
122_Te_saeculorum_1.mp3,122_Te_saeculorum_1.mp3,https://liberhymnarius.org/images/3/39/122_Te_saeculorum_1.mp3,https://liberhymnarius.org/index.php?title=File:122_Te_saeculorum_1.mp3,2355806,audio/mp3,2011-11-19T08:25:32Z
